ID	Дата	Показатель
G0881	07.03.2016 3:48	0.643
G0882	07.03.2016 3:48	0.481
G0883	07.03.2016 3:56	0.174
G0884	07.03.2016 3:59	0.272
G0885	07.03.2016 4:11	0.83
G0673	07.03.2016 4:13	0.696
G0886	07.03.2016 4:19	0.286
G0887	07.03.2016 4:29	0.251
G0888	07.03.2016 4:33	0.005
G0674	07.03.2016 4:37	0.903
G0889	07.03.2016 4:55	0.64
G0890	07.03.2016 4:56	0.953
G0891	07.03.2016 5:05	0.744
G0892	07.03.2016 5:07	0.623
G0893	07.03.2016 5:08	0.814
G0894	07.03.2016 5:11	0.82
G0895	07.03.2016 5:12	0.797
G0896	07.03.2016 5:16	0.074
G0897	07.03.2016 5:19	0.934
G0898	07.03.2016 5:22	0.459
G0899	07.03.2016 5:28	0.795
G0900	07.03.2016 5:29	0.118
G0901	07.03.2016 5:30	0.619
G0902	07.03.2016 5:31	0.278
G0903	07.03.2016 5:36	0.106
G0904	07.03.2016 5:39	0.995
G0905	07.03.2016 5:42	0.848
G0906	07.03.2016 5:43	0.772
G0907	07.03.2016 5:48	0.961
G0675	07.03.2016 5:52	0.397
G0908	07.03.2016 5:54	0.495
G0909	07.03.2016 5:54	0.136
G0676	07.03.2016 5:55	0.208
G0910	07.03.2016 5:56	0.667
G0677	07.03.2016 5:57	0.514
G0911	07.03.2016 5:59	0.127
G0678	07.03.2016 6:03	0.301
G0912	07.03.2016 6:03	0.171
G0913	07.03.2016 6:08	0.009
G0679	07.03.2016 6:10	0.341
G0914	07.03.2016 6:10	0.378
G0915	07.03.2016 6:12	0.152
G0916	07.03.2016 6:14	0.668
G0917	07.03.2016 6:17	0.334
G0918	07.03.2016 6:20	0.554
G0919	07.03.2016 6:21	0.599
G0920	07.03.2016 6:23	0.301
G0921	07.03.2016 6:23	0.253
G0922	07.03.2016 6:24	0.764
G0923	07.03.2016 6:34	0.934
G0924	07.03.2016 6:42	0.47
G0925	07.03.2016 6:43	0.906
G0680	07.03.2016 6:43	0.792
G0926	07.03.2016 6:43	0.566
G0927	07.03.2016 6:44	0.434
G0681	07.03.2016 6:48	0.431
G0682	07.03.2016 6:49	0.321
G0683	07.03.2016 6:52	0.6
G0928	07.03.2016 6:53	0.9
G0929	07.03.2016 6:54	0.002
G0930	07.03.2016 6:54	0.134
G0931	07.03.2016 7:00	0.262
G0684	07.03.2016 7:07	0.321
G0932	07.03.2016 7:09	0.231
G0685	07.03.2016 7:18	0.808
G0933	07.03.2016 7:20	0.825
G0686	07.03.2016 7:20	0.706
G0687	07.03.2016 7:24	0.187
G0688	07.03.2016 7:34	0.527
G0689	07.03.2016 7:35	0.082
G0934	07.03.2016 7:40	0.205
G0935	07.03.2016 7:48	0.221
G0936	07.03.2016 7:48	0.854
G0690	07.03.2016 7:49	0.679
G0937	07.03.2016 7:50	0.918
G0938	07.03.2016 7:51	0.995
G0939	07.03.2016 7:51	0.591
G0691	07.03.2016 7:57	0.832
G0940	07.03.2016 8:00	0.701
G0692	07.03.2016 8:00	0.406
G0941	07.03.2016 8:04	0.074
G0693	07.03.2016 8:05	0.242
G0694	07.03.2016 8:05	0.921
G0942	07.03.2016 8:11	0.314
G0695	07.03.2016 8:14	0.517
G0696	07.03.2016 8:14	0.252
G0697	07.03.2016 8:15	0.41
G0698	07.03.2016 8:16	0.26
G0699	07.03.2016 8:19	0.26
G0700	07.03.2016 8:20	0.531
G0701	07.03.2016 8:24	0.101
G0702	07.03.2016 8:25	0.576
G0703	07.03.2016 8:26	0.038
G0704	07.03.2016 8:26	0.851
G0705	07.03.2016 8:28	0.081
G0706	07.03.2016 8:29	0.582
G0707	07.03.2016 8:30	0.625
G0708	07.03.2016 8:31	0.738
G0709	07.03.2016 8:34	0.038
G0710	07.03.2016 8:34	0.767
G0711	07.03.2016 8:35	0.459
G0712	07.03.2016 8:38	0.051
G0713	07.03.2016 8:38	0.349
G0714	07.03.2016 8:40	0.153
G0943	07.03.2016 8:43	0.117
G0715	07.03.2016 8:44	0.786
G0716	07.03.2016 8:46	0.277
G0717	07.03.2016 8:48	0.24
G0944	07.03.2016 8:51	0.744
G0718	07.03.2016 8:53	0.649
G0945	07.03.2016 8:55	0.029
G0719	07.03.2016 8:55	0.215
G0720	07.03.2016 8:56	0.791
G0721	07.03.2016 8:59	0.194
G0722	07.03.2016 9:01	0.647
G0723	07.03.2016 9:01	0.351
G0724	07.03.2016 9:04	0.677
G0725	07.03.2016 9:04	0.585
G0726	07.03.2016 9:06	0.971
G0727	07.03.2016 9:10	0.754
G0728	07.03.2016 9:14	0.241
G0729	07.03.2016 9:14	0.253
G0730	07.03.2016 9:15	0.156
G0731	07.03.2016 9:18	0.899
G0732	07.03.2016 9:19	0.073
G0733	07.03.2016 9:21	0.029
G0734	07.03.2016 9:22	0.482
G0735	07.03.2016 9:22	0.604
G0736	07.03.2016 9:24	0.105
G0737	07.03.2016 9:25	0.516
G0738	07.03.2016 9:26	0.438
G0739	07.03.2016 9:31	0.384
G0740	07.03.2016 9:32	0.06
G0741	07.03.2016 9:33	0.776
G0742	07.03.2016 9:34	0.311
G0743	07.03.2016 9:34	0.352
G0744	07.03.2016 9:39	0.619
G0745	07.03.2016 9:43	0.604
G0946	07.03.2016 9:44	0.77
G0746	07.03.2016 9:46	0.074
G0747	07.03.2016 9:46	0.42
G0748	07.03.2016 9:46	0.956
G0749	07.03.2016 9:47	0.186
G0750	07.03.2016 9:49	0.073
G0751	07.03.2016 9:53	0.244
G0752	07.03.2016 9:55	0.316
G0753	07.03.2016 9:56	0.645
G0754	07.03.2016 9:59	0.885
G0755	07.03.2016 10:00	0.996
G0756	07.03.2016 10:01	0.052
G0757	07.03.2016 10:10	0.929
G0758	07.03.2016 10:11	0.856
G0759	07.03.2016 10:13	0.349
G0760	07.03.2016 10:13	0.062
G0761	07.03.2016 10:14	0.911
G0762	07.03.2016 10:15	0.078
G0763	07.03.2016 10:17	0.152
G0764	07.03.2016 10:20	0.242
G0765	07.03.2016 10:20	0.125
G0766	07.03.2016 10:23	0.164
G0767	07.03.2016 10:26	0.962
G0768	07.03.2016 10:29	0.6
G0769	07.03.2016 10:32	0.476
G0770	07.03.2016 10:34	0.76
G0771	07.03.2016 10:36	0.311
G0772	07.03.2016 10:38	0.034
G0773	07.03.2016 10:40	0.348
G0774	07.03.2016 10:42	0.987
G0775	07.03.2016 10:45	0.577
G0776	07.03.2016 10:50	0.09
G0777	07.03.2016 10:52	0.566
G0778	07.03.2016 10:54	0.207
G0779	07.03.2016 10:56	0.541
G0780	07.03.2016 11:00	0.236
G0781	07.03.2016 11:00	0.966
G0947	07.03.2016 11:01	0.822
G0782	07.03.2016 11:05	0.03
G0783	07.03.2016 11:17	0.459
G0784	07.03.2016 11:19	0.556
G0785	07.03.2016 11:21	0.99
G0786	07.03.2016 11:32	0.21
G0787	07.03.2016 11:41	0.221
G0788	07.03.2016 11:47	0.49
G0789	07.03.2016 11:48	0.46
G0790	07.03.2016 11:51	0.433
G0791	07.03.2016 11:51	0.079
G0792	07.03.2016 11:52	0.355
G0793	07.03.2016 11:57	0.925
G0794	07.03.2016 11:58	0.705
G0795	07.03.2016 12:03	0.512
G0796	07.03.2016 12:07	0.496
G0797	07.03.2016 12:12	0.583
G0798	07.03.2016 12:15	0.173
G0799	07.03.2016 12:18	0.755
G0800	07.03.2016 12:18	0.361
G0801	07.03.2016 12:19	0.82
G0802	07.03.2016 12:21	0.209
G0803	07.03.2016 12:27	0.68
G0804	07.03.2016 12:30	0.111
G0805	07.03.2016 12:31	0.178
G0806	07.03.2016 12:41	0.972
G0807	07.03.2016 12:45	0.032
G0808	07.03.2016 12:45	0.971
G0809	07.03.2016 12:49	0.051
G0810	07.03.2016 12:51	0.544
G0811	07.03.2016 12:56	0.552
G0812	07.03.2016 12:58	0.055
G0948	08.03.2016 4:27	0.761
G0949	08.03.2016 5:43	0.009
G0950	08.03.2016 5:55	0.806
G0951	08.03.2016 6:16	0.659
G0952	08.03.2016 6:17	0.942
G0953	08.03.2016 6:20	0.075
G0954	08.03.2016 6:33	0.734
G0955	08.03.2016 6:40	0.246
G0956	08.03.2016 6:41	0.414
G0957	08.03.2016 6:52	0.108
G0958	08.03.2016 6:59	0.255
G0959	08.03.2016 7:02	0.614
G0960	08.03.2016 7:11	0.952
G0961	08.03.2016 7:13	0.677
G0962	08.03.2016 7:22	0.44
G0963	08.03.2016 7:28	0.977
G0964	08.03.2016 7:32	0.635
G0965	08.03.2016 7:36	0.983
G0966	08.03.2016 7:38	0.077
G0967	08.03.2016 7:42	0.944
G0968	08.03.2016 7:42	0.689
G0969	08.03.2016 7:42	0.764
G0970	08.03.2016 7:43	0.647
G0971	08.03.2016 7:45	0.639
G0972	08.03.2016 7:46	0.001
G0973	08.03.2016 7:48	0.553
G0974	08.03.2016 7:49	0.043
G0975	08.03.2016 7:52	0.433
G0976	08.03.2016 8:01	0.723
G0977	08.03.2016 8:08	0.381
G0978	08.03.2016 8:10	0.544
G0979	08.03.2016 8:11	0.026
G0980	08.03.2016 8:16	0.639
G0981	08.03.2016 8:18	0.308
G0982	08.03.2016 8:19	0.865
G0983	08.03.2016 8:22	0.875
G0984	08.03.2016 8:22	0.218
G0985	08.03.2016 8:23	0.359
G0986	08.03.2016 8:23	0.313
G0987	08.03.2016 8:27	0.185
G0988	08.03.2016 8:29	0.519
G0989	08.03.2016 8:29	0.754
G0990	08.03.2016 8:29	0.368
G0991	08.03.2016 8:33	0.958
G0992	08.03.2016 8:35	0.378
G0993	08.03.2016 8:36	0.529
G0994	08.03.2016 8:38	0.207
G0995	08.03.2016 8:39	0.837
G0996	08.03.2016 8:40	0.547
G0997	08.03.2016 8:40	0.902
G0998	08.03.2016 8:42	0.988
G0999	08.03.2016 8:43	0.715
G01000	08.03.2016 8:43	0.699
