ID	Дата	Показатель	Показатель 2	Показатель 3	Показатель 4	Показатель 5
G0328	05.03.2016 12:59	0.076	0.724	0.731	0.306	71
G0553	06.03.2016 1:01	0.35	0.62	0.483	0.099	23
G0554	06.03.2016 1:02	0.268	0.028	0.226	0.53	92
G0555	06.03.2016 1:05	0.612	0.979	0.892	0.876	4
G0556	06.03.2016 1:09	0.527	0.983	0.498	0.309	60
G0557	06.03.2016 1:12	0.344	0.672	0.795	0.314	42
G0558	06.03.2016 1:17	0.345	0.815	0.798	0.518	19
G0559	06.03.2016 1:17	0.604	0.325	0.235	0.152	70
G0426	06.03.2016 1:19	0.839	0.107	0.232	0.619	65
G0560	06.03.2016 1:21	0.295	0.855	0.754	0.935	76
G0561	06.03.2016 1:21	0.242	0.175	0.628	0.985	3
G0562	06.03.2016 1:23	0.689	0.618	0.165	0.87	37
G0563	06.03.2016 1:25	0.731	0.503	0.709	0.792	98
G0564	06.03.2016 1:27	0.448	0.629	0.632	0.244	26
G0565	06.03.2016 1:28	0.16	0.238	0.589	0.466	97
G0566	06.03.2016 1:30	0.53	0.84	0.073	0.41	5
G0567	06.03.2016 1:32	0.555	0.754	0.57	0.702	35
G0568	06.03.2016 1:35	0.464	0.482	0.862	0.329	97
G0569	06.03.2016 1:38	0.663	0.272	0.263	0.036	25
G0570	06.03.2016 1:42	0.952	0.472	0.856	0.677	38
G0571	06.03.2016 1:53	0.205	0.55	0.008	0.985	27
G0572	06.03.2016 1:53	0.396	0.875	0.725	0.519	15
G0573	06.03.2016 1:56	0.72	0.626	0.625	0.749	99
G0574	06.03.2016 1:58	0.088	0.436	0.602	0.536	80
G0575	06.03.2016 2:01	0.535	0.631	0.455	0.472	27
G0576	06.03.2016 2:01	0.24	0.173	0.039	0.825	47
G0577	06.03.2016 2:04	0.66	0.664	0.734	0.072	40
G0578	06.03.2016 2:05	0.1	0.028	0.28	0.252	73
G0579	06.03.2016 2:08	0.661	0.723	0.268	0.627	3
G0580	06.03.2016 2:08	0.869	0.588	0.845	0.376	17
G0581	06.03.2016 2:08	0.033	0.706	0.421	0.326	94
G0582	06.03.2016 2:10	0.398	0.86	0.427	0.928	81
G0583	06.03.2016 2:12	0.749	0.472	0.421	0.986	58
G0584	06.03.2016 2:15	0.392	0.115	0.097	0.857	30
G0585	06.03.2016 2:16	0.593	0.962	0.973	0.122	51
G0586	06.03.2016 2:23	0.532	0.792	0.832	0.94	1
G0587	06.03.2016 2:23	0.138	0.387	0.189	0.593	52
G0588	06.03.2016 2:25	0.243	0.465	0.345	0.946	85
G0589	06.03.2016 2:28	0.914	0.473	0.824	0.798	67
G0590	06.03.2016 2:32	0.167	0.873	0.23	0.376	90
G0591	06.03.2016 2:36	0.928	0.774	0.835	0.441	14
G0592	06.03.2016 2:38	0.529	0.01	0.427	0.752	96
G0593	06.03.2016 2:38	0.344	0.044	0.239	0.858	80
G0594	06.03.2016 2:44	0.826	0.281	0.984	0.475	77
G0595	06.03.2016 2:50	0.374	0.673	0.299	0.904	70
G0596	06.03.2016 2:55	0.458	0.716	0.153	0.25	15
G0597	06.03.2016 2:59	0.307	0.186	0.006	0.407	29
G0598	06.03.2016 3:03	0.32	0.253	0.775	0.061	86
G0599	06.03.2016 3:03	0.708	0.8	0.887	0.178	52
G0600	06.03.2016 3:07	0.873	0.079	0.996	0.723	41
G0601	06.03.2016 3:10	0.173	0.051	0.119	0.591	72
G0602	06.03.2016 3:10	0.026	0.031	0.286	0.984	52
G0603	06.03.2016 3:10	0.242	0.478	0.956	0.718	25
G0604	06.03.2016 3:14	0.199	0.067	0.776	0.197	50
G0605	06.03.2016 3:20	0.178	0.371	0.469	0.033	7
G0606	06.03.2016 3:20	0.449	0.792	0.898	0.554	42
G0607	06.03.2016 3:23	0.858	0.58	0.601	0.675	100
G0608	06.03.2016 3:26	0.347	0.054	0.35	0.878	5
G0609	06.03.2016 3:28	0.144	0.393	0.529	0.272	89
G0610	06.03.2016 3:32	0.737	0.593	0.367	0.982	71
G0611	06.03.2016 3:34	0.253	0.464	0.344	0.334	54
G0612	06.03.2016 3:37	0.378	0.76	0.3	0.59	80
G0613	06.03.2016 3:38	0.963	0.818	0.042	0.2	49
G0614	06.03.2016 3:39	0.06	0.3	0.518	0.816	25
G0615	06.03.2016 3:42	0.547	0.909	0.824	0.552	53
G0616	06.03.2016 3:45	0.963	0.186	0.615	0.213	75
G0617	06.03.2016 3:45	0.101	0.741	0.711	0.496	15
G0618	06.03.2016 3:52	0.042	0.533	0.932	0.378	75
G0619	06.03.2016 3:52	0.107	0.057	0.477	0.194	65
G0620	06.03.2016 3:55	0.945	0.554	0.388	0.121	37
G0621	06.03.2016 3:56	0.584	0.584	0.883	0.069	25
G0622	06.03.2016 3:58	0.65	0.599	0.63	0.201	100
G0623	06.03.2016 4:04	0.697	0.347	0.233	0.57	82
G0624	06.03.2016 4:04	0.541	0.241	0.493	0.617	80
G0625	06.03.2016 4:07	0.218	0.037	0.238	0.494	54
G0626	06.03.2016 4:08	0.227	0.432	0.766	0.468	1
G0627	06.03.2016 4:08	0.325	0.452	0.196	0.877	36
G0628	06.03.2016 4:19	0.997	0.721	0.281	0.373	1
G0629	06.03.2016 4:24	0.022	0.992	0.477	0.446	24
G0630	06.03.2016 4:27	0.581	0.53	0.308	0.451	26
G0631	06.03.2016 4:34	0.38	0.219	0.334	0.63	23
G0632	06.03.2016 4:40	0.722	0.499	0.264	0.867	99
G0633	06.03.2016 4:52	0.102	0.484	0.01	0.141	31
G0634	06.03.2016 4:55	0.312	0.889	0.732	0.942	81
G0635	06.03.2016 4:56	0.931	0.607	0.169	0.106	15
G0636	06.03.2016 4:58	0.212	0.05	0.8	0.819	96
G0637	06.03.2016 4:59	0.46	0.628	0.639	0.773	56
G0638	06.03.2016 4:59	0.779	0.948	0.704	0.699	56
G0639	06.03.2016 5:01	0.289	0.619	0.46	0.775	84
G0640	06.03.2016 5:03	0.307	0.757	0.787	0.632	53
G0641	06.03.2016 5:04	0.466	0.554	0.253	0.951	90
G0642	06.03.2016 5:05	0.408	0.517	0.771	0.878	41
G0643	06.03.2016 5:07	0.198	0.246	0.895	0.742	20
G0644	06.03.2016 5:08	0.582	0.847	0.342	0.824	91
G0645	06.03.2016 5:09	0.981	0.347	0.51	0.136	50
G0646	06.03.2016 5:12	0.235	0.724	0.047	0.471	41
G0647	06.03.2016 5:12	0.262	0.402	0.774	0.185	46
G0427	06.03.2016 5:14	0.903	0.328	0.498	0.472	9
G0648	06.03.2016 5:20	0.362	0.982	0.525	0.08	98
G0649	06.03.2016 5:21	0.874	0.944	0.901	0.745	3
G0428	06.03.2016 5:23	0.462	0.861	0.699	0.789	41
G0650	06.03.2016 5:35	0.471	0.93	0.884	0.642	2
G0651	06.03.2016 5:42	0.834	0.266	0.561	0.261	57
G0652	06.03.2016 5:43	0.326	0.744	0.645	0.68	26
G0653	06.03.2016 5:47	0.881	0.193	0.263	0.186	56
G0654	06.03.2016 5:50	0.878	0.04	0.414	0.836	80
G0655	06.03.2016 5:54	0.971	0.771	0.71	0.323	38
G0429	06.03.2016 5:56	0.295	0.815	0.22	0.404	86
G0656	06.03.2016 5:57	0.994	0.706	0.734	0.39	36
G0430	06.03.2016 6:01	0.98	0.637	0.978	0.419	88
G0431	06.03.2016 6:04	0.256	0.772	0.589	0.513	48
G0657	06.03.2016 6:04	0.947	0.912	0.885	0.633	51
G0432	06.03.2016 6:19	0.122	0.379	0.746	0.239	35
G0658	06.03.2016 6:19	0.638	0.235	0.127	0.065	24
G0659	06.03.2016 6:29	0.966	0.188	0.019	0.117	17
G0433	06.03.2016 6:30	0.267	0.79	0.903	0.107	2
G0660	06.03.2016 6:31	0.933	0.802	0.984	0.829	36
G0434	06.03.2016 6:33	0.62	0.818	0.759	0.191	56
G0435	06.03.2016 6:38	0.865	0.514	0.721	0.899	12
G0436	06.03.2016 6:44	0.451	0.144	0.231	0.026	51
G0661	06.03.2016 6:51	0.07	0.114	0.87	0.951	71
G0662	06.03.2016 6:51	0.208	0.774	0.808	0.392	43
G0663	06.03.2016 6:56	0.43	0.765	0.994	0.538	60
G0437	06.03.2016 6:58	0.996	0.544	0.203	0.493	59
G0438	06.03.2016 7:01	0.289	0.938	0.256	0.53	40
G0664	06.03.2016 7:07	0.31	0.84	0.935	0.883	55
G0439	06.03.2016 7:20	0.61	0.409	0.411	0.066	62
G0665	06.03.2016 7:22	0.408	0.375	0.224	0.946	57
G0440	06.03.2016 7:29	0.703	0.319	0.107	0.065	26
G0666	06.03.2016 7:31	0.128	0.032	0.207	0.937	87
G0441	06.03.2016 7:33	0.338	0.303	0.502	0.304	15
G0442	06.03.2016 7:40	0.712	0.769	0.452	0.596	62
G0443	06.03.2016 7:46	0.999	0.665	0.19	0.06	18
G0444	06.03.2016 7:47	0.671	0.586	0.795	0.315	82
G0667	06.03.2016 7:53	0.285	0.636	0.442	0.303	29
G0668	06.03.2016 7:58	0.17	0.552	0.487	0.869	96
G0445	06.03.2016 8:02	0.73	0.679	0.761	0.467	28
G0446	06.03.2016 8:03	0.664	0.898	0.651	0.713	48
G0447	06.03.2016 8:05	0.6	0.864	0.741	0.775	47
G0448	06.03.2016 8:06	0.893	0.172	0.059	0.838	8
G0669	06.03.2016 8:12	0.052	0.302	0.252	0.123	10
G0449	06.03.2016 8:13	0.649	0.455	0.206	0.193	78
G0450	06.03.2016 8:13	0.601	0.645	0.926	0.537	64
G0451	06.03.2016 8:14	0.256	0.642	0.716	0.664	89
G0452	06.03.2016 8:18	0.499	0.645	0.96	0.184	79
G0453	06.03.2016 8:19	0.328	0.779	0.047	0.623	67
G0454	06.03.2016 8:20	0.673	0.779	0.234	0.947	44
G0455	06.03.2016 8:23	0.302	0.475	0.511	0.032	92
G0456	06.03.2016 8:28	0.676	0.932	0.735	0.567	29
G0457	06.03.2016 8:30	0.437	0.361	0.612	0.116	31
G0458	06.03.2016 8:40	0.833	0.147	0.299	0.339	40
G0459	06.03.2016 8:42	0.543	0.624	0.689	0.59	53
G0460	06.03.2016 8:45	0.959	0.434	0.665	0.383	50
G0461	06.03.2016 8:55	0.711	0.597	0.876	0.462	27
G0462	06.03.2016 8:56	0.727	0.644	0.836	0.462	13
G0463	06.03.2016 8:59	0.837	0.416	0.375	0.383	4
G0464	06.03.2016 9:00	0.581	0.406	0.763	0.378	53
G0465	06.03.2016 9:00	0.72	0.732	0.037	0.573	72
G0466	06.03.2016 9:06	0.013	0.121	0.331	0.918	49
G0467	06.03.2016 9:07	0.27	0.494	0.261	0.296	99
G0468	06.03.2016 9:11	0.693	0.027	0.66	0.37	82
G0469	06.03.2016 9:13	0.634	0.79	0.203	0.913	59
G0470	06.03.2016 9:14	0.381	0.32	0.727	0.599	81
G0471	06.03.2016 9:14	0.192	0.75	0.295	0.485	28
G0472	06.03.2016 9:18	0.277	0.337	0.286	0.685	36
G0473	06.03.2016 9:20	0.222	0.515	0.081	0.943	78
G0474	06.03.2016 9:21	0.697	0.811	0.115	0.124	4
G0475	06.03.2016 9:22	0.86	0.264	0.365	0.822	37
G0476	06.03.2016 9:24	0.01	0.174	0.562	0.594	87
G0477	06.03.2016 9:31	0.602	0.309	0.666	0.552	37
G0478	06.03.2016 9:34	0.992	0.933	0.416	0.279	97
G0479	06.03.2016 9:35	0.332	0.245	0.992	0.324	45
G0480	06.03.2016 9:42	0.44	0.108	0.083	0.755	99
G0481	06.03.2016 9:46	0.577	0.169	0.924	0.498	73
G0482	06.03.2016 9:49	0.292	0.727	0.075	0.449	38
G0483	06.03.2016 9:52	0.55	0.962	0.012	0.598	67
G0484	06.03.2016 9:54	0.094	0.386	0.812	0.645	46
G0485	06.03.2016 9:55	0.576	0.624	0.483	0.845	81
G0670	06.03.2016 9:55	0.519	0.876	0.741	0.063	28
G0486	06.03.2016 9:57	0.781	0.686	0.266	0.274	30
G0487	06.03.2016 10:02	0.353	0.864	0.76	0.999	33
G0488	06.03.2016 10:05	0.504	0.672	0.322	0.399	25
G0489	06.03.2016 10:05	0.946	0.643	0.962	0.024	4
G0490	06.03.2016 10:07	0.833	0.629	0.29	0.445	89
G0491	06.03.2016 10:09	0.23	0.944	0.681	0.25	11
G0492	06.03.2016 10:10	0.06	0.719	0.452	0.147	58
G0493	06.03.2016 10:10	0.941	0.807	0.866	0.153	63
G0494	06.03.2016 10:15	0.722	0.875	0.997	0.103	53
G0495	06.03.2016 10:16	0.398	0.517	0.753	0.965	1
G0496	06.03.2016 10:20	0.297	0.515	0.611	0.696	45
G0497	06.03.2016 10:23	0.992	0.601	0.855	0.622	76
G0498	06.03.2016 10:24	0.713	0.325	0.369	0.576	96
G0499	06.03.2016 10:28	0.073	0.893	0.269	0.281	6
G0500	06.03.2016 10:30	0.496	0.094	0.946	0.706	78
G0501	06.03.2016 10:33	0.234	0.65	0.286	0.393	11
G0502	06.03.2016 10:42	0.905	0.627	0.14	0.968	81
G0503	06.03.2016 10:47	0.624	0.745	0.324	0.344	36
G0504	06.03.2016 10:50	0.628	0.707	0.704	0.332	95
G0505	06.03.2016 10:56	0.971	0.908	0.163	0.655	48
G0506	06.03.2016 10:59	0.778	0.123	0.492	0.593	76
G0507	06.03.2016 11:02	1	0.042	0.502	0.747	22
G0508	06.03.2016 11:02	0.972	0.764	0.918	0.66	98
G0509	06.03.2016 11:06	0.926	0.595	0.823	0.265	1
G0510	06.03.2016 11:10	0.379	0.775	0.731	0.416	75
G0671	06.03.2016 11:13	0.363	0.991	0.565	0.967	40
G0511	06.03.2016 11:15	0.664	0.77	0.093	0.141	76
G0512	06.03.2016 11:19	0.203	0.135	0.621	0.178	34
G0513	06.03.2016 11:22	0.074	0.113	0.983	0.489	14
G0514	06.03.2016 11:22	0.504	0.969	0.137	0.801	24
G0515	06.03.2016 11:23	0.245	0.261	0.898	0.035	19
G0516	06.03.2016 11:33	0.195	0.095	0.625	0.893	83
G0517	06.03.2016 11:33	0.021	0.166	0.88	0.386	92
G0518	06.03.2016 11:34	0.922	0.464	0.395	0.805	88
G0519	06.03.2016 11:37	0.49	0.744	0.848	0.845	39
G0520	06.03.2016 11:40	0.924	0.12	0.293	0.884	70
G0521	06.03.2016 11:41	0.805	0.401	0.245	0.647	88
G0522	06.03.2016 11:41	0.67	0.013	0.755	0.733	44
G0523	06.03.2016 11:51	0.073	0.631	0.996	0.752	88
G0524	06.03.2016 11:53	0.544	0.872	0.17	0.042	26
G0525	06.03.2016 11:53	0.892	0.663	0.781	0.207	83
G0526	06.03.2016 11:59	0.326	0.139	0.561	0.971	22
G0527	06.03.2016 11:59	0.856	0.182	0.617	0.059	78
G0528	06.03.2016 11:59	0.993	0.967	0.571	0.108	8
G0529	06.03.2016 12:01	0.835	0.108	0.757	0.841	74
G0530	06.03.2016 12:03	0.698	0.284	0.769	0.977	86
G0531	06.03.2016 12:04	0.864	0.437	0.898	0.62	97
G0532	06.03.2016 12:07	0.032	0.912	0.266	0.116	20
G0533	06.03.2016 12:08	0.395	0.145	0.7	0.598	96
G0534	06.03.2016 12:12	0.129	0.755	0.639	0.717	56
G0535	06.03.2016 12:15	0.224	0.156	0.625	0.287	32
G0536	06.03.2016 12:16	0.15	0.044	0.174	0.826	26
G0537	06.03.2016 12:21	0.006	0.37	0.077	0.238	41
G0538	06.03.2016 12:25	0.498	0.653	0.418	0.105	25
G0539	06.03.2016 12:26	0.633	0.756	0.869	0.339	84
G0540	06.03.2016 12:29	0.07	0.467	0.046	0.163	76
G0541	06.03.2016 12:31	0.252	0.506	0.986	0.67	75
G0542	06.03.2016 12:38	0.291	0.818	0.033	0.437	76
G0543	06.03.2016 12:39	0.137	0.25	0.676	0.925	88
G0544	06.03.2016 12:40	0.846	0.987	0.152	0.654	18
G0545	06.03.2016 12:42	0.274	0.339	0.842	0.392	55
G0546	06.03.2016 12:44	0.343	0.76	0.771	0.832	4
G0547	06.03.2016 12:46	0.275	0.183	0.752	0.499	32
G0548	06.03.2016 12:49	0.777	0.054	0.971	0.867	24
G0549	06.03.2016 12:52	0.291	0.657	0.064	0.923	55
G0550	06.03.2016 12:53	0.11	0.6	0.974	0.665	34
G0551	06.03.2016 12:57	0.892	0.568	0.153	0.259	76
G0552	06.03.2016 12:59	0.63	0.695	0.88	0.848	1
G0813	07.03.2016 1:03	0.644	0.184	0.764	0.249	77
G0814	07.03.2016 1:04	0.586	0.008	0.722	0.011	38
G0815	07.03.2016 1:06	0.148	0.826	0.969	0.582	69
G0816	07.03.2016 1:07	0.9	0.456	0.834	0.556	16
G0817	07.03.2016 1:07	0.043	0.522	0.436	0.25	72
G0818	07.03.2016 1:10	0.219	0.138	0.523	0.076	56
G0819	07.03.2016 1:12	0.538	0.724	0.016	0.465	71
G0820	07.03.2016 1:15	0.099	0.335	0.063	0.306	10
G0821	07.03.2016 1:19	0.933	0.087	0.638	0.146	61
G0822	07.03.2016 1:20	0.439	0.567	0.997	0.638	13
G0823	07.03.2016 1:27	0.968	0.311	0.519	0.96	68
G0824	07.03.2016 1:29	0.298	0.722	0.752	0.199	22
G0825	07.03.2016 1:29	0.157	0.044	0.685	0.931	52
G0826	07.03.2016 1:33	0.652	0.234	0.567	0.484	38
G0827	07.03.2016 1:34	0.171	0.853	0.803	0.611	94
G0828	07.03.2016 1:45	0.416	0.337	0.733	0.566	3
G0829	07.03.2016 1:47	0.334	0.248	0.333	0.811	60
G0830	07.03.2016 1:48	0.817	0.373	0.146	0.848	83
G0831	07.03.2016 1:50	0.022	0.777	0.979	0.895	48
G0832	07.03.2016 1:53	0.985	0.166	0.171	0.402	35
G0833	07.03.2016 1:55	0.624	0.179	0.469	0.64	21
G0834	07.03.2016 2:00	0.961	0.456	0.823	0.847	44
G0835	07.03.2016 2:03	0.552	0.602	0.632	0.655	13
G0836	07.03.2016 2:04	0.379	0.4	0.252	0.806	55
G0837	07.03.2016 2:07	0.802	0.882	0.798	0.361	19
G0838	07.03.2016 2:11	0.239	0.127	0.551	0.918	75
G0839	07.03.2016 2:15	0.687	0.882	0.506	0.541	74
G0840	07.03.2016 2:15	0.737	0.369	0.867	0.415	66
G0841	07.03.2016 2:18	0.814	0.9	0.527	0.441	98
G0842	07.03.2016 2:20	0.405	0.139	0.834	0.259	11
G0843	07.03.2016 2:26	0.037	0.136	0.196	0.445	38
G0844	07.03.2016 2:27	0.067	0.485	0.307	0.845	64
G0845	07.03.2016 2:27	0.239	0.218	0.059	0.306	82
G0846	07.03.2016 2:28	0.796	0.295	0.419	0.264	84
G0847	07.03.2016 2:29	0.261	0.796	0.833	0.941	54
G0848	07.03.2016 2:30	0.266	0.175	0.943	0.128	48
G0849	07.03.2016 2:34	0.324	0.195	0.675	0.786	96
G0850	07.03.2016 2:36	0.197	0.382	0.975	0.959	44
G0851	07.03.2016 2:39	0.814	0.134	0.769	0.72	27
G0852	07.03.2016 2:39	0.038	0.822	0.917	0.145	47
G0853	07.03.2016 2:40	0.51	0.503	0.222	0.545	84
G0854	07.03.2016 2:41	0.182	0.11	0.787	0.444	76
G0855	07.03.2016 2:44	0.117	0.207	0.271	0.03	43
G0856	07.03.2016 2:45	0.948	0.697	0.83	0.07	33
G0857	07.03.2016 2:46	0.641	0.067	0.805	0.521	26
G0858	07.03.2016 2:46	0.815	0.05	0.444	0.325	20
G0859	07.03.2016 2:49	0.458	0.791	0.201	0.11	82
G0860	07.03.2016 2:50	0.091	0.903	0.426	0.804	43
G0861	07.03.2016 2:53	0.252	0.999	0.469	0.367	58
G0862	07.03.2016 2:56	0.784	0.57	0.521	0.156	89
G0863	07.03.2016 3:04	0.155	0.319	0.711	0.633	42
G0864	07.03.2016 3:07	0.119	0.31	0.286	0.412	94
G0865	07.03.2016 3:10	0.621	0.537	0.891	0.881	93
G0866	07.03.2016 3:12	0.374	0.773	0.271	0.874	86
G0867	07.03.2016 3:12	0.794	0.818	0.922	0.136	52
G0868	07.03.2016 3:13	0.596	0.49	0.507	0.564	8
G0672	07.03.2016 3:14	0.511	0.983	0.062	0.453	33
G0869	07.03.2016 3:16	0.836	0.437	0.311	0.239	28
G0870	07.03.2016 3:17	0.576	0.849	0.621	0.465	95
G0871	07.03.2016 3:20	0.934	0.658	0.399	0.967	24
G0872	07.03.2016 3:21	0.767	0.639	0.982	0.492	96
G0873	07.03.2016 3:28	0.063	0.949	0.312	0.266	58
G0874	07.03.2016 3:28	0.077	0.442	0.939	0.208	28
G0875	07.03.2016 3:31	0.378	0.607	0.162	0.807	22
G0876	07.03.2016 3:33	0.184	0.747	0.34	0.874	31
G0877	07.03.2016 3:34	0.637	0.242	0.681	0.671	71
G0878	07.03.2016 3:34	0.967	0.033	0.047	0.134	94
G0879	07.03.2016 3:37	0.785	0.648	0.584	0.185	37
G0880	07.03.2016 3:40	0.336	0.423	0.207	0.371	33
G0881	07.03.2016 3:48	0.643	0.738	0.253	0.301	25
G0882	07.03.2016 3:48	0.481	0.404	0.837	0.628	49
G0883	07.03.2016 3:56	0.174	0.545	0.72	0.554	83
G0884	07.03.2016 3:59	0.272	0.6	0.72	0.092	70
G0885	07.03.2016 4:11	0.83	0.28	0.977	0.574	66
G0673	07.03.2016 4:13	0.696	0.619	0.614	0.135	75
G0886	07.03.2016 4:19	0.286	0.454	0.585	0.159	67
G0887	07.03.2016 4:29	0.251	0.957	0.772	0.923	94
G0888	07.03.2016 4:33	0.005	0.07	0.606	0.918	43
G0674	07.03.2016 4:37	0.903	0.962	0.78	0.589	99
G0889	07.03.2016 4:55	0.64	0.861	0.839	0.47	11
G0890	07.03.2016 4:56	0.953	0.866	0.698	0.96	65
G0891	07.03.2016 5:05	0.744	0.61	0.379	0.208	30
G0892	07.03.2016 5:07	0.623	0.874	0.524	0.857	18
G0893	07.03.2016 5:08	0.814	0.516	0.474	0.624	68
G0894	07.03.2016 5:11	0.82	0.322	0.962	0.948	66
G0895	07.03.2016 5:12	0.797	0.636	0.713	0.2	41
G0896	07.03.2016 5:16	0.074	0.89	0.509	0.173	7
G0897	07.03.2016 5:19	0.934	0.376	0.505	0.858	43
G0898	07.03.2016 5:22	0.459	0.884	0.847	0.72	24
G0899	07.03.2016 5:28	0.795	0.058	0.89	0.973	52
G0900	07.03.2016 5:29	0.118	0.578	0.558	0.577	50
G0901	07.03.2016 5:30	0.619	0.538	0.651	0.951	13
G0902	07.03.2016 5:31	0.278	0.615	0.139	0.633	29
G0903	07.03.2016 5:36	0.106	0.896	0.742	0.366	17
G0904	07.03.2016 5:39	0.995	0.476	0.343	0.353	48
G0905	07.03.2016 5:42	0.848	0.179	0.03	0.661	41
G0906	07.03.2016 5:43	0.772	0.011	0.819	0.007	51
G0907	07.03.2016 5:48	0.961	0.217	0.344	0.413	89
G0675	07.03.2016 5:52	0.397	0.029	0.074	0.465	43
G0908	07.03.2016 5:54	0.495	0.491	0.842	0.158	99
G0909	07.03.2016 5:54	0.136	0.95	0.745	0.558	61
G0676	07.03.2016 5:55	0.208	0.074	0.693	0.78	39
G0910	07.03.2016 5:56	0.667	0.526	0.181	0.995	39
G0677	07.03.2016 5:57	0.514	0.623	0.058	0.465	84
G0911	07.03.2016 5:59	0.127	0.618	0.344	0.843	47
G0678	07.03.2016 6:03	0.301	0.443	0.403	0.208	71
G0912	07.03.2016 6:03	0.171	0.038	0.009	0.58	15
G0913	07.03.2016 6:08	0.009	0.612	0.105	0.897	39
G0679	07.03.2016 6:10	0.341	0.455	0.297	0.692	35
G0914	07.03.2016 6:10	0.378	0.161	0.389	0.945	46
G0915	07.03.2016 6:12	0.152	0.358	0.499	0.852	48
G0916	07.03.2016 6:14	0.668	0.326	0.558	0.495	72
G0917	07.03.2016 6:17	0.334	0.089	0.229	0.646	7
G0918	07.03.2016 6:20	0.554	0.86	0.556	0.184	97
G0919	07.03.2016 6:21	0.599	0.934	0.879	0.872	28
G0920	07.03.2016 6:23	0.301	0.401	0.824	0.465	70
G0921	07.03.2016 6:23	0.253	0.275	0.394	0.395	18
G0922	07.03.2016 6:24	0.764	0.911	0.485	0.503	49
G0923	07.03.2016 6:34	0.934	0.81	0.351	0.57	82
G0924	07.03.2016 6:42	0.47	0.174	0.829	0.617	25
G0925	07.03.2016 6:43	0.906	0.829	0.362	0.219	19
G0680	07.03.2016 6:43	0.792	0.356	0.121	0.302	36
G0926	07.03.2016 6:43	0.566	0.561	0.777	0.181	90
G0927	07.03.2016 6:44	0.434	0.627	0.71	0.799	48
G0681	07.03.2016 6:48	0.431	0.57	0.71	0.418	73
G0682	07.03.2016 6:49	0.321	0.847	0.462	0.239	25
G0683	07.03.2016 6:52	0.6	0.232	0.369	0.685	100
G0928	07.03.2016 6:53	0.9	0.317	0.497	0.338	86
G0929	07.03.2016 6:54	0.002	0.255	0.706	0.759	71
G0930	07.03.2016 6:54	0.134	0.585	0.244	0.668	28
G0931	07.03.2016 7:00	0.262	0.276	0.373	0.24	53
G0684	07.03.2016 7:07	0.321	0.322	0.804	0.476	47
G0932	07.03.2016 7:09	0.231	0.516	0.998	0.903	57
G0685	07.03.2016 7:18	0.808	0.256	0.63	0.077	26
G0933	07.03.2016 7:20	0.825	0.492	0.762	0.623	100
G0686	07.03.2016 7:20	0.706	0.171	0.516	0.806	14
G0687	07.03.2016 7:24	0.187	0.8	0.303	0.853	43
G0688	07.03.2016 7:34	0.527	0.968	0.899	0.526	83
G0689	07.03.2016 7:35	0.082	0.957	0.918	0.669	17
G0934	07.03.2016 7:40	0.205	0.786	0.475	0.712	65
G0935	07.03.2016 7:48	0.221	0.303	0.091	0.382	26
G0936	07.03.2016 7:48	0.854	0.19	0.129	0.083	70
G0690	07.03.2016 7:49	0.679	0.971	0.321	0.703	29
G0937	07.03.2016 7:50	0.918	0.417	0.169	0.807	91
G0938	07.03.2016 7:51	0.995	0.913	0.274	0.478	11
G0939	07.03.2016 7:51	0.591	0.689	0.888	0.263	81
G0691	07.03.2016 7:57	0.832	0.992	0.238	0.982	25
G0940	07.03.2016 8:00	0.701	0.582	0.42	0.367	17
G0692	07.03.2016 8:00	0.406	0.14	0.897	0.777	27
G0941	07.03.2016 8:04	0.074	0.467	0.922	0.463	49
G0693	07.03.2016 8:05	0.242	0.57	0.411	0.131	79
G0694	07.03.2016 8:05	0.921	0.002	0.067	0.772	19
G0942	07.03.2016 8:11	0.314	0.059	0.818	0.002	46
G0695	07.03.2016 8:14	0.517	0.699	0.841	0.404	72
G0696	07.03.2016 8:14	0.252	0.288	0.74	0.582	67
G0697	07.03.2016 8:15	0.41	0.541	0.662	0.94	42
G0698	07.03.2016 8:16	0.26	0.247	0.404	0.402	5
G0699	07.03.2016 8:19	0.26	0.671	0.806	0.564	24
G0700	07.03.2016 8:20	0.531	0.701	0.977	0.007	86
G0701	07.03.2016 8:24	0.101	0.14	0.149	0.768	21
G0702	07.03.2016 8:25	0.576	0.719	0.212	0.185	17
G0703	07.03.2016 8:26	0.038	0.715	0.217	0.616	78
G0704	07.03.2016 8:26	0.851	0.268	0.407	0.762	76
G0705	07.03.2016 8:28	0.081	0.758	0.555	0.569	96
G0706	07.03.2016 8:29	0.582	0.864	0.678	0.961	98
G0707	07.03.2016 8:30	0.625	0.152	0.402	0.871	25
G0708	07.03.2016 8:31	0.738	0.294	0.541	0.319	33
G0709	07.03.2016 8:34	0.038	0.308	0.681	0.506	38
G0710	07.03.2016 8:34	0.767	0.388	0.809	0.175	84
G0711	07.03.2016 8:35	0.459	0.221	0.302	0.708	90
G0712	07.03.2016 8:38	0.051	0.867	0.801	0.707	33
G0713	07.03.2016 8:38	0.349	0.594	0.781	0.035	57
G0714	07.03.2016 8:40	0.153	0.245	0.864	0.548	43
G0943	07.03.2016 8:43	0.117	0.024	0.161	0.014	54
G0715	07.03.2016 8:44	0.786	0.794	0.206	0.948	46
G0716	07.03.2016 8:46	0.277	0.25	0.258	0.337	33
